Dataset,Target,Train_F1,Train_MCC,Test_Acc,Test_F1,Test_MCC,Complexity,Formula,Variant
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,3. RL
PC3,F1,0.41968911917098445,0.3530984507846455,0.7488151658767772,0.4421052631578947,0.38412172812768886,1,x0,4. RL + Seeding
PC4,F1,0.5,0.4130663068180289,0.7795275590551181,0.40425531914893614,0.2940133263476777,7,((x3 mul 9.651) sub (x27 mul x5)),1. Standard
PC4,F1,0.5038167938931297,0.4220851965942808,0.7637795275590551,0.4,0.2890608035265323,7,((x3 mul 7.946) sub (x14 add x10)),2. Seeding
PC4,F1,0.4793814432989691,0.3897313116187608,0.7519685039370079,0.37623762376237624,0.25799047063631453,1,x3,3. RL
PC4,F1,0.4856396866840731,0.397100700534234,0.7677165354330708,0.3917525773195876,0.2780516854762238,7,((x3 mul 9.651) sub (x0 mul x24)),4. RL + Seeding
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,1. Standard
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,2. Seeding
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,3. RL
PC5,F1,0.5351239669421488,0.32244227932123015,0.6755162241887905,0.5378151260504201,0.32658244477472786,1,x34,4. RL + Seeding
